SIREN,NIC,ENSEIGNE
344414727,109,
344423496,43,
344511894,42,ALI ELECTRICITE
344534631,33,
344534631,41,
344575980,18,
344575980,18,
344730338,45,
344730338,52,
344730338,52,
344832761,37,PONEY CLUB DES ECURIES DE JOUY
344955281,37,KARA
344985783,28,
345004162,11,
345004162,11,LE GLOBE
345041180,59,
345041180,59,
345065841,24,
345086177,7296,CAMAIEU
345092027,27,
345092027,27,
345136147,47,
345282016,376,
345359541,25,
347460511,12,
347460511,12,
347609026,47,
347609026,54,
347654774,20,
347654774,20,
347654774,38,
347826059,11,
347836116,17,
347836116,25,
347966020,13,
347979858,29,FLTP LONGUEMARE
348022369,22,
348022369,22,
348180555,24,
348291972,19,
348303819,26,
348303819,34,
348322041,32,
348364373,12,
348364373,12,
348388836,10,
348398249,48,
348598376,21,
348664012,47,
348683517,75,
348683517,83,LE DOMAINE DE LEANE
348683517,83,LE DOMAINE DE LEANE
348806639,12,
348806639,20,
348827874,36,
348827874,44,
348871880,20,
349200337,39,
349259325,18,
349344689,14,
349344689,22,
349351452,25,
349389098,63,
349674408,19,
350062147,45,
350062147,45,JF MOREAU TRANSPORTS ET LOCATION
350120325,229,
350145306,30,
350145306,30,
350145306,48,
350145306,48,
350148698,37,
350148698,52,
350148698,52,
350148698,60,
350148698,60,
350148698,78,
350148698,78,
350148698,86,
350242236,23,
350242236,23,
350283057,130,KUSMI TEA
350287769,11,
350408555,75,
350434916,36,
350576567,19,
350692406,19,
350692406,27,
350703211,10,
350757092,19,
350757092,35,
350793758,29,
350882676,25,
350882676,33,
351021613,10,
351056346,31,
351056346,31,CABINET PFEFFER
351245816,50,
351245816,68,
351261722,42,
351438452,10,
351450101,57,
351453774,25,
351453774,33,
351575154,15,
351777883,23,
351823398,59,
351906839,29,
352018964,36,
352158851,19,
352158851,19,
352158851,27,
352287007,46,
352397244,59,
352479240,25,
352479240,25,
352549075,21,
352549075,39,
352549075,47,
352549075,54,
352549075,62,
352549075,70,
352857791,29,
352857791,29,
352882393,15,
352882393,49,
352902324,24,
353022684,16,
353022684,24,
353069487,42,
353069487,42,
353183684,11,
353183684,45,
353304199,14,
353304199,14,
353304199,48,
353338429,64,
353431745,28,
353435340,24,
353457658,14,
353457658,14,
353461866,124,CGA GRAND OUEST
353466139,55,FONTAINE JOSEPH
353513450,273,
353513450,273,
353688963,27,LE SAO
353829203,36,HAROLD
353900947,22,
353907330,24,
353934219,83,
353934219,91,
353935182,17,
